2170 2170
1 1677 1555
2 1780 1334
3 1363 18
4 1785 475
5 125 1226
6 445 985
7 423 151
8 1552 295
9 1856 82
10 1453 2120
11 1677 1504
12 365 1342
13 1851 1741
14 1780 1832
15 326 1121
16 365 1737
17 1437 847
18 560 797
19 2047 486
20 553 656
21 1775 16
22 1189 1749
23 688 1301
24 2062 1138
25 1969 286
26 267 541
27 1372 1234
28 1390 1343
29 314 3
30 716 403
31 523 2016
32 835 1205
33 393 2137
34 234 2085
35 21 1230
36 141 811
37 320 740
38 1974 1785
39 188 780
40 1458 1994
41 92 2108
42 1635 1201
43 1098 1020
44 72 1456
45 1411 1846
46 262 1929
47 1357 268
48 371 556
49 1959 334
50 2135 2012
51 878 602
52 231 322
53 377 1657
54 1463 1570
55 1350 805
56 1501 348
57 901 1672
58 1720 153
59 56 2113
60 844 251
61 1790 775
62 2053 1674
63 1140 1534
64 391 35
65 2085 1461
66 1158 1510
67 36 147
68 1988 2150
69 178 201
70 1655 2004
71 1195 494
72 881 2030
73 81 1444
74 1097 821
75 2029 62
76 1604 84
77 1267 977
78 1067 1191
79 375 128
80 543 642
81 1405 87
82 1825 636
83 742 701
84 1554 455
85 687 1235
86 2015 78
87 1105 1723
88 1072 604
89 1046 1551
90 1070 2064
91 1269 118
92 1079 2114
93 438 612
94 1476 500
95 1324 1583
96 660 1961
97 1550 1895
98 1786 956
99 1274 1084
100 244 786
101 180 2072
102 1865 2106
103 2048 1098
104 1349 1238
105 1694 215
106 194 132
107 294 96
108 999 1305
109 678 1137
110 796 2008
111 1491 2044
112 1191 1288
113 375 1550
114 1372 1866
115 364 2007
116 857 765
117 744 289
118 1692 1375
119 238 376
120 1599 520
121 52 1561
122 137 813
123 2080 786
124 895 2058
125 1757 591
126 1173 518
127 139 848
128 1898 1231
129 1290 492
130 550 1446
131 19 217
132 1388 285
133 1998 459
134 1400 1147
135 372 599
136 1245 350
137 1654 1302
138 40 1429
139 1806 1613
140 1346 412
141 99 745
142 927 1458
143 674 2044
144 1427 159
145 1321 1506
146 234 1680
147 2049 208
148 443 208
149 1516 1990
150 1190 2074
151 226 1230
152 975 123
153 12 1925
154 1936 378
155 1404 1294
156 1376 1183
157 1155 1467
158 184 486
159 1966 725
160 344 1750
161 662 1570
162 1195 2156
163 1776 1208
164 288 1282
165 40 2167
166 1985 1980
167 1498 1020
168 579 639
169 267 755
170 1209 2128
171 2170 1520
172 2150 1483
173 958 2021
174 1966 1497
175 2034 1254
176 1780 887
177 286 1397
178 2106 1154
179 181 1082
180 550 1102
181 1262 930
182 11 2154
183 1353 1261
184 677 195
185 961 2110
186 1994 1591
187 867 668
188 1541 1127
189 1962 2151
190 693 1872
191 1528 337
192 157 1887
193 1948 13
194 1933 1505
195 657 670
196 1690 1049
197 537 1954
198 463 1490
199 880 367
200 1640 448
201 332 1457
202 475 2137
203 570 525
204 643 1982
205 1541 1433
206 1925 1587
207 1978 43
208 1361 1138
209 1454 178
210 152 388
211 1624 101
212 1095 1963
213 949 281
214 149 397
215 757 2112
216 332 546
217 1087 386
218 1155 1921
219 1773 1080
220 2037 380
221 1756 1008
222 8 1047
223 1035 1514
224 181 1424
225 2118 358
226 436 1055
227 652 312
228 27 5
229 1800 2068
230 946 359
231 1462 228
232 1831 831
233 202 973
234 365 607
235 1946 1829
236 672 1648
237 1107 766
238 870 1734
239 2009 1923
240 698 2157
241 1524 1242
242 21 241
243 327 874
244 581 771
245 1005 1800
246 1543 905
247 893 758
248 1415 1960
249 2160 561
250 1022 29
251 972 903
252 2100 800
253 1480 1724
254 2048 132
255 1721 338
256 18 683
257 1939 1610
258 1209 1614
259 2167 432
260 44 1713
261 1379 1173
262 60 31
263 1088 1433
264 1923 568
265 941 669
266 40 487
267 489 1799
268 1419 2066
269 329 1044
270 937 965
271 703 536
272 1073 1827
273 121 1590
274 1604 594
275 1201 1042
276 876 601
277 446 1276
278 112 291
279 1285 1664
280 1605 121
281 199 906
282 485 111
283 1939 356
284 2160 1314
285 1099 2012
286 1731 1571
287 1457 1246
288 900 1616
289 114 1796
290 1487 405
291 290 1225
292 731 299
293 192 1513
294 1918 972
295 746 1013
296 1493 496
297 31 281
298 1808 491
299 1355 1901
300 440 1240
301 635 1883
302 459 1454
303 1952 1784
304 408 1392
305 235 497
306 1650 790
307 364 91
308 484 1601
309 1434 683
310 1432 921
311 49 1155
312 2157 155
313 1313 670
314 1366 611
315 1741 2151
316 1890 1172
317 1555 1434
318 1462 976
319 1694 537
320 42 424
321 1532 137
322 136 2139
323 1939 599
324 324 1715
325 1646 20
326 975 282
327 16 1967
328 874 1564
329 1142 957
330 710 964
331 1125 237
332 1040 538
333 311 2139
334 1134 278
335 1944 1257
336 641 906
337 1492 1036
338 54 709
339 340 3
340 1274 555
341 1034 587
342 1642 1144
343 833 1960
344 967 1651
345 1738 293
346 168 1604
347 1682 2168
348 1501 1473
349 863 310
350 280 1010
351 2036 41
352 627 792
353 991 956
354 467 1868
355 33 702
356 1936 87
357 584 1327
358 1779 381
359 2057 1107
360 2031 268
361 1975 46
362 1441 1491
363 396 443
364 774 2087
365 786 1424
366 1732 1997
367 450 519
368 1860 1396
369 809 530
370 73 1429
371 72 1999
372 1966 1298
373 1625 575
374 242 1155
375 1531 186
376 1244 1489
377 1074 1413
378 664 1532
379 1001 1168
380 665 1465
381 1698 2107
382 371 1406
383 1983 616
384 523 1527
385 993 1520
386 908 618
387 1488 1831
388 1850 932
389 412 1710
390 302 976
391 373 1216
392 1174 1680
393 1423 1083
394 775 1979
395 88 840
396 777 962
397 563 766
398 1564 1301
399 167 1889
400 1011 963
401 1933 1833
402 2038 661
