5330 5330
1 3934 2714
2 4553 2944
3 308 1439
4 1858 4394
5 2484 3625
6 2896 643
7 3493 1878
8 2438 3729
9 2030 887
10 3256 851
11 450 3053
12 2308 3627
13 5162 154
14 721 3302
15 301 2732
16 642 2268
17 4317 4323
18 1563 1342
19 2678 4423
20 2440 265
21 4742 4262
22 4058 4776
23 802 3945
24 1173 1766
25 4959 1096
26 544 1285
27 5074 2006
28 2251 5264
29 2851 4345
30 770 1094
31 4015 3701
32 1624 1250
33 5037 3951
34 1688 1436
35 2949 389
36 661 233
37 499 1500
38 38 1916
39 46 4037
40 454 487
41 4201 5040
42 732 64
43 1027 1368
44 3754 4516
45 3169 2172
46 1116 2652
47 2012 1126
48 2081 4080
49 3580 1155
50 5176 615
51 2544 956
52 2622 3275
53 2597 4684
54 1578 3757
55 2562 3186
56 836 3456
57 2585 4125
58 2062 1576
59 904 564
60 1536 1738
61 221 1943
62 229 3379
63 3440 4771
64 661 4646
65 426 5052
66 1353 4146
67 3121 3224
68 4684 1251
69 3974 1340
70 2384 3035
71 2413 4682
72 4393 3367
73 3571 2279
74 4688 4275
75 1545 5029
76 317 3980
77 4734 3958
78 3037 1827
79 119 1581
80 5231 5107
81 2801 4512
82 5145 2882
83 1243 2010
84 3151 4165
85 2739 4542
86 438 1151
87 2984 4990
88 2674 2575
89 5133 756
90 3964 1468
91 813 3501
92 1801 515
93 2990 510
94 5122 2850
95 3242 504
96 105 4263
97 212 146
98 626 1671
99 1405 4259
100 581 2668
101 2963 2579
102 2548 1082
103 4140 5009
104 986 261
105 2116 1883
106 3275 1062
107 2138 2179
108 3279 941
109 3220 1744
110 3983 826
111 2924 2087
112 1710 3064
113 2721 4481
114 4377 3180
115 3007 3973
116 1839 228
117 1050 17
118 2233 2235
119 2231 4931
120 2401 2115
121 661 1557
122 4169 5030
123 1680 2612
124 1988 1804
125 2839 714
126 5150 3943
127 4712 49
128 554 677
129 2669 535
130 4488 4145
131 354 1955
132 475 3065
133 3905 2682
134 3411 2621
135 4498 1089
136 4009 779
137 2204 2867
138 1814 1111
139 4126 312
140 2994 45
141 2254 635
142 4022 40
143 1557 240
144 4847 1388
145 5261 3777
146 2416 1482
147 1800 3627
148 3008 4354
149 2286 3668
150 1256 441
151 3221 4308
152 1452 3099
153 5059 4649
154 4741 732
155 1567 2922
156 5188 1664
157 1716 3618
158 3244 4580
159 1843 4651
160 2210 4730
161 343 4891
162 3898 2166
163 2912 2074
164 890 3779
165 606 1870
166 2128 4736
167 1574 4776
168 2558 5050
169 2053 3062
170 5232 1086
171 2315 3562
172 4628 4757
173 2104 2191
174 5196 1831
175 5108 3903
176 928 3123
177 501 180
178 2170 2695
179 1856 2691
180 1506 3965
181 3119 1015
182 2855 1835
183 5330 270
184 82 2400
185 2632 3032
186 2025 3304
187 5048 5309
188 3436 1879
189 387 3771
190 4306 2293
191 467 3714
192 3303 1009
193 2169 1621
194 4624 5081
195 3939 3866
196 3290 4178
197 4836 4514
198 1579 4903
199 4510 3059
200 5080 1363
201 1669 694
202 1288 3373
203 3351 5010
204 3866 2156
205 281 4613
206 3820 1262
207 4708 4553
208 3284 1835
209 4777 948
210 821 3038
211 3258 3276
212 1656 504
213 1400 4619
214 2900 5180
215 818 3987
216 513 1828
217 2362 159
218 4202 1217
219 3280 4927
220 5152 3052
221 1589 1447
222 1396 1123
223 4450 1450
224 4825 1931
225 1480 3208
226 1380 4275
227 1050 70
228 447 4024
229 530 3928
230 5038 4750
231 1523 4638
232 5211 4261
233 59 501
234 1025 3062
235 2042 1883
236 542 2612
237 3169 376
238 1935 4447
239 2540 180
240 3530 4322
241 3627 3862
242 2849 2087
243 366 2558
244 2059 2712
245 5247 5328
246 5163 5093
247 505 1161
248 3789 2799
249 4545 477
250 1497 3082
251 835 2654
252 3161 2423
253 757 2645
254 3959 176
255 4423 4830
256 465 1166
257 1880 2600
258 1511 2976
259 2128 2958
260 2905 2685
261 3211 4484
262 3938 1754
263 2541 4197
264 739 2819
265 4133 5251
266 3649 1752
267 4247 3251
268 1791 3865
269 2162 2882
270 4940 1120
271 2758 3582
272 5124 4939
273 3516 188
274 1684 5146
275 1561 2650
276 1707 2159
277 1065 5044
278 185 337
279 1983 3751
280 5227 2582
281 4539 532
282 2883 3487
283 319 4305
284 551 4350
285 5169 2308
286 511 1919
287 5039 2075
288 1873 472
289 1245 4587
290 518 4019
291 3211 4482
292 2650 712
293 4507 285
294 1552 2872
295 4866 5108
296 1292 1712
297 663 2905
298 3427 2225
299 230 1801
300 1328 296
301 2858 65
302 5002 3514
303 1429 2877
304 3436 611
305 4395 2122
306 4773 2708
307 1990 4480
308 778 1469
309 3877 4488
310 3973 2306
311 4625 2788
312 540 3379
313 272 1806
314 3913 1172
315 4730 885
316 20 1533
317 389 315
318 5041 4669
319 1470 4697
320 2739 4968
321 3180 5270
322 3381 5300
323 735 138
324 1931 3590
325 3164 1031
326 760 250
327 3225 475
328 112 5215
329 1102 2348
330 4893 4506
331 393 1271
332 169 4845
333 3553 4540
334 2194 1362
335 1917 4746
336 2713 4648
337 3644 2508
338 4756 4617
339 949 1078
340 2807 3661
341 87 1807
342 161 5222
343 5233 4112
344 1822 885
345 2306 4600
346 2111 5140
347 1468 2750
348 115 4444
349 4356 3849
350 1522 1808
351 3700 919
352 3266 4963
353 1018 2532
354 1060 3537
355 2187 4770
356 1028 4964
357 5225 39
358 4048 846
359 249 578
360 711 2800
361 4457 2200
362 3103 716
363 1907 5009
364 4266 1235
365 4517 3452
366 129 778
367 1078 1060
368 4442 351
369 428 3666
370 1573 580
371 2670 4034
372 1853 5240
373 3143 3051
