3690 3690
1 1235 2
2 3399 2296
3 598 1909
4 335 2649
5 124 651
6 573 1937
7 3237 673
8 3622 2502
9 557 2613
10 3556 3444
11 226 2636
12 1477 1090
13 21 2255
14 3301 3153
15 3601 3091
16 3569 202
17 1110 3183
18 2817 2968
19 1278 2643
20 771 1161
21 2617 1911
22 3458 127
23 599 407
24 3163 3573
25 187 83
26 771 3198
27 263 2797
28 803 2116
29 1845 539
30 2892 959
31 2950 3503
32 1372 1305
33 3632 3225
34 1370 1794
35 2677 183
36 3118 2031
37 768 1347
38 560 2936
39 3398 2408
40 2904 1043
41 1009 957
42 781 1601
43 3481 2524
44 3617 3093
45 314 2275
46 2236 2384
47 1254 647
48 3254 1898
49 547 758
50 2712 2492
51 2864 691
52 778 1514
53 281 1557
54 543 833
55 2809 1634
56 1660 2973
57 910 2351
58 1978 2956
59 1915 259
60 3446 1674
61 2839 351
62 3111 106
63 3282 2279
64 2397 665
65 1344 3261
66 1302 2128
67 2151 2274
68 2161 2349
69 3343 3285
70 1543 3023
71 2878 193
72 1299 3245
73 164 2774
74 1381 2703
75 1790 1597
76 1886 667
77 3136 2925
78 899 78
79 1728 1169
80 2858 2329
81 3135 1600
82 3214 2781
83 729 445
84 722 3281
85 2133 2174
86 323 2023
87 3397 3211
88 3495 1780
89 1585 3458
90 1128 258
91 66 2600
92 2261 2577
93 3358 3309
94 237 716
95 235 1366
96 238 685
97 1445 3237
98 2075 316
99 3393 1560
100 352 1275
101 515 2196
102 2455 1706
103 2711 2592
104 2790 1446
105 3436 88
106 654 928
107 2880 1906
108 1647 2074
109 819 3148
110 3500 3086
111 2476 194
112 1455 1620
113 1559 2710
114 325 2109
115 57 1556
116 615 815
117 2533 3550
118 3428 328
119 1847 197
120 469 82
121 1944 372
122 1268 2046
123 1488 2498
124 2537 24
125 2600 2672
126 178 3517
127 2259 1243
128 2163 1861
129 679 83
130 1830 2823
131 1327 2637
132 881 1354
133 2219 2812
134 1048 118
135 3191 2670
136 432 240
137 3104 862
138 2019 3146
139 3265 188
140 1178 80
141 754 702
142 2885 2318
143 1689 1818
144 1512 2406
145 1196 1830
146 819 812
147 1160 723
148 768 2486
149 717 163
150 601 1380
151 2512 1669
152 3575 921
153 1573 2311
154 3383 800
155 1144 1190
156 118 1909
157 3156 1143
158 281 1115
159 1862 2687
160 821 702
161 1988 175
162 330 3418
163 327 3016
164 2947 1141
165 1119 423
166 2752 1014
167 2989 2936
168 2339 2594
169 449 809
170 3578 283
171 2851 2182
172 1269 3391
173 2652 2353
174 460 1378
175 3314 1580
