1100 1100
1 278 654
2 143 730
3 236 535
4 891 353
5 941 623
6 466 438
7 961 706
8 399 234
9 578 145
10 77 954
11 452 707
12 493 357
13 66 336
14 871 831
15 693 906
16 625 264
17 380 621
18 430 557
19 913 487
20 699 87
21 311 304
22 439 841
23 129 182
24 494 673
25 249 124
26 463 882
27 201 280
28 1031 1093
29 862 850
30 721 380
31 129 143
32 720 1058
33 131 927
34 53 560
35 179 479
36 986 191
37 799 825
38 523 483
39 28 847
40 70 996
41 726 722
42 374 295
43 311 756
44 19 859
45 356 1001
46 690 520
47 105 31
48 743 839
49 1042 191
50 1042 72
51 995 861
52 258 597
53 962 531
54 678 612
55 10 970
56 10 778
57 238 962
58 626 477
59 954 83
60 342 62
61 250 520
62 338 167
63 832 483
64 802 241
65 903 445
66 628 997
67 341 479
68 740 624
69 204 77
70 529 475
71 452 550
72 746 548
73 996 152
74 196 15
75 724 1070
76 30 700
77 777 119
78 857 637
79 883 81
80 553 786
81 203 533
82 803 807
83 792 605
84 440 546
85 632 695
86 1098 794
87 786 744
88 58 455
89 210 205
90 94 302
91 738 1020
92 832 855
93 652 855
94 902 954
95 318 296
96 704 147
97 980 976
98 731 646
99 276 73
100 679 253
101 1094 1066
102 411 691
103 1003 675
104 947 265
105 804 248
106 534 498
107 75 766
108 977 29
109 593 826
110 531 805
111 624 396
112 7 420
113 42 841
114 1036 525
115 583 845
116 759 358
117 248 445
118 554 591
119 152 855
120 519 466
121 939 621
122 754 599
123 165 266
124 843 176
125 260 214
126 332 656
127 609 978
128 234 253
129 605 5
130 210 193
131 354 881
132 1038 1093
133 955 400
134 617 1057
135 968 1096
136 407 532
137 319 909
138 700 509
139 164 1042
140 128 904
141 686 643
142 555 765
143 974 665
144 738 345
145 655 423
146 113 870
147 996 395
148 782 342
149 622 412
150 218 887
151 1016 803
152 519 1058
153 19 403
154 442 1027
155 21 1077
156 970 343
157 47 1012
158 1057 1069
159 779 278
160 185 1018
161 595 863
162 533 444
163 998 5
164 1009 877
165 1090 304
166 611 751
167 216 243
168 484 523
169 692 11
170 990 431
171 708 148
172 367 640
173 90 737
174 954 603
175 1035 1095
176 961 878
177 459 437
178 226 939
179 979 151
