2440 2440
1 1700 2031
2 121 2273
3 94 1634
4 685 706
5 1996 1822
6 403 2251
7 403 540
8 385 601
9 524 2016
10 1196 1715
11 1562 611
12 318 702
13 1516 1828
14 1191 1659
15 2390 367
16 169 2318
17 35 9
18 1065 887
19 510 2155
20 1291 1286
21 98 1141
22 308 2011
23 509 2356
24 542 1284
25 2372 2303
26 2344 291
27 19 1366
28 764 503
29 1581 236
30 2134 953
31 2235 959
32 1641 914
33 1904 141
34 523 2276
35 2180 2234
36 1300 390
37 2350 1751
38 1091 1587
39 1816 5
40 594 2117
41 1886 994
42 1668 1877
43 687 1859
44 1723 1319
45 1704 2371
46 1094 2276
47 45 1443
48 2251 2176
49 1121 2331
50 1753 326
51 975 831
52 514 1912
53 18 765
54 1151 739
55 1738 1422
56 269 1282
57 1192 1292
58 886 778
59 253 2435
60 1643 2078
61 1110 626
62 168 1980
63 2410 1372
64 24 703
65 2198 1922
66 2155 1614
67 1721 1067
68 893 845
69 988 839
70 2433 75
71 1765 1968
72 62 604
73 916 1146
74 1792 1216
75 180 277
76 2162 108
77 2054 961
78 1851 1095
79 2227 281
80 367 2055
81 481 1914
82 936 333
83 424 1166
84 1675 1046
85 133 1132
86 1024 1051
87 135 2211
88 1581 668
89 2272 927
90 2058 241
91 77 1266
92 810 2305
93 754 255
94 1048 1502
95 296 2211
96 1432 448
97 2352 1093
98 1552 1969
99 997 23
100 1118 249
101 1989 1125
102 1092 2140
103 2304 606
104 1618 2208
105 1829 633
106 1506 283
107 1184 802
108 1106 2125
109 1336 244
110 1085 705
111 2193 1425
112 2139 698
113 149 1016
114 899 1020
115 616 695
116 1030 176
117 1564 1321
118 2341 2316
119 2114 1161
120 1909 2282
121 1282 2336
122 1082 792
123 805 884
124 1755 840
125 1545 1249
126 1876 1592
127 1877 180
128 769 1157
129 1438 782
130 2218 492
131 1233 1685
132 841 1306
133 2121 465
134 356 356
135 963 1942
136 1471 881
137 2217 61
138 394 670
139 660 8
140 475 578
141 61 782
142 1997 2316
143 2262 1059
144 1249 329
145 772 852
146 2187 411
147 1207 1826
148 2145 438
149 198 1109
150 896 421
151 493 1338
152 776 244
153 176 368
154 512 2111
155 268 127
156 636 1523
157 2428 162
158 2190 1187
159 2322 1047
160 252 2095
161 270 2029
162 689 255
163 2268 1669
164 1718 798
165 585 1948
166 1769 197
167 1190 2248
168 1406 1717
169 712 32
170 2222 490
171 95 393
172 790 180
173 829 1390
174 817 1199
175 570 2336
176 440 1429
177 1942 895
178 1505 10
179 814 1047
180 230 881
181 1691 2358
182 152 318
183 1687 230
184 2227 179
185 1945 686
186 451 2134
187 483 2365
188 943 523
189 946 1562
190 1534 966
191 1685 1517
192 2103 780
193 1410 642
194 469 1899
195 1494 120
196 171 383
197 420 645
198 2348 1558
199 511 1276
200 70 2158
201 1883 105
202 648 285
203 1329 2364
204 826 409
205 1713 189
206 2139 1346
207 829 1783
208 713 653
209 1163 607
210 1492 1330
211 1188 767
212 948 1592
213 539 1014
214 1829 2071
215 1656 1947
216 904 742
217 173 1970
218 2404 2278
219 672 1557
220 1276 1679
221 923 951
222 146 2306
223 2112 381
224 2268 310
225 2185 1150
226 1583 2223
227 143 2413
228 1690 2068
229 1873 2428
230 2244 152
231 2032 1571
232 296 2419
