2940 2940
1 676 831
2 2839 2326
3 1490 2692
4 94 2214
5 643 2549
6 1656 736
7 1746 2021
8 874 2912
9 550 1646
10 206 282
11 880 1122
12 2581 67
13 689 2103
14 2269 411
15 2200 1547
16 852 1958
17 1125 2587
18 1427 399
19 115 2936
20 1252 1280
21 675 2432
22 78 2415
23 1321 275
24 427 148
25 855 2057
26 2277 1380
27 2620 1325
28 752 1005
29 10 2010
30 1919 2472
31 999 597
32 1811 1171
33 2084 1108
34 1419 2019
35 2308 317
36 1378 2845
37 875 1526
38 66 1383
39 2594 1839
40 2626 2001
41 2074 433
42 2023 2352
43 319 381
44 1490 2792
45 1816 2472
46 686 1957
47 2671 558
48 784 359
49 1778 236
50 1986 1450
51 1928 2523
52 1155 62
53 152 2478
54 1438 119
55 2520 519
56 1539 1321
57 2317 1392
58 512 1936
59 1366 2331
60 1669 1566
61 274 2716
62 2342 2851
63 2173 1663
64 615 408
65 1567 2001
66 1011 615
67 167 2839
68 2893 2535
69 2206 1096
70 1016 2029
71 1592 462
72 2106 2810
73 2397 1861
74 2120 1446
75 756 179
76 1496 672
77 652 155
78 1407 1242
79 1365 1926
80 2460 1019
81 1722 1163
82 2256 1508
83 1754 2380
84 1759 240
85 2540 621
86 1495 2619
87 97 1089
88 844 1165
89 2901 741
90 2399 610
91 2474 1923
92 2431 609
93 2108 487
94 2017 878
95 2702 1746
96 1563 276
97 2283 340
98 1028 735
99 1965 2558
100 1281 405
101 594 1620
102 915 407
103 148 1258
104 115 2082
105 2895 574
106 1066 2166
107 2708 1961
108 2106 691
109 196 434
110 2424 1350
111 845 956
112 2384 2667
113 2632 2422
114 1022 1281
115 1268 2141
116 359 2389
117 2741 1617
118 2335 711
119 713 2639
120 1024 1677
121 2499 2511
122 1999 525
123 1609 2576
124 1917 1552
125 2000 2920
126 2105 1092
127 297 2630
128 959 2244
129 2342 944
130 2136 1174
131 2009 1850
132 2457 1426
133 2077 1772
134 1649 99
135 71 460
136 2931 1185
137 318 8
138 683 270
139 1210 1269
140 288 1414
141 2185 1888
142 1330 2398
143 1135 1315
144 1685 690
145 2844 2327
146 2121 2305
147 2111 188
148 531 378
149 1141 1002
150 2280 2801
151 2606 2859
152 997 227
153 176 690
154 935 602
155 342 58
156 2347 247
157 634 2082
158 797 897
159 1090 2331
160 960 214
161 2392 1498
162 1237 756
163 2600 980
164 121 1350
165 530 630
166 484 923
167 2768 1862
168 1680 1888
169 640 688
170 1541 789
171 2230 1633
172 1002 1859
173 368 978
174 1996 733
175 1431 391
176 1890 124
177 1094 2101
178 968 2777
179 77 2892
180 2940 2745
181 1463 593
182 49 2627
183 2762 1977
184 934 1753
185 2131 626
186 1659 1022
187 2301 2298
188 1318 2192
189 807 2629
190 2193 2322
191 2366 978
192 809 1536
193 111 84
194 1938 2501
195 557 239
196 2702 2637
197 1133 666
198 1392 1439
199 371 1698
200 129 533
201 1468 169
202 12 2419
203 804 1964
204 789 1020
205 282 1305
206 731 695
207 1758 624
208 1187 1810
209 1599 912
210 972 1720
211 2688 2754
212 2340 420
213 296 521
214 271 632
215 276 1475
216 179 687
217 1548 2616
218 2855 710
219 667 1695
220 1477 729
221 2774 1225
222 1973 1485
223 1435 2038
224 151 113
225 2029 2780
226 1568 1866
227 692 2403
228 1815 1039
229 1131 954
230 2491 1033
231 1024 2908
232 1163 1402
233 810 1487
234 2542 517
235 389 2423
236 1240 2513
237 698 2702
238 2261 1573
239 1311 1915
240 1532 2390
241 153 413
242 487 2783
243 286 2777
244 1481 2798
245 2646 946
246 1664 1456
247 525 1155
248 2272 1535
249 831 2758
250 1096 2785
251 2434 1153
252 848 1785
253 511 870
254 442 844
255 2319 2271
256 312 1210
257 373 2645
258 366 1870
259 2765 1456
260 2520 2385
261 678 1028
262 1447 779
263 2739 2578
264 2668 838
265 443 114
266 53 941
267 1899 1920
268 607 732
269 1273 804
270 2896 969
271 542 2906
272 686 1850
273 118 1426
274 411 2476
275 2907 1769
276 2282 2464
277 1735 2428
278 2122 2603
279 2175 2072
280 2334 2099
281 2841 1778
282 945 2804
283 2868 1892
284 1651 1212
285 155 741
286 15 315
287 1902 2633
288 1794 1241
289 815 2816
290 1112 481
291 684 1030
292 2313 1998
293 1188 2475
294 1831 920
295 1473 710
296 1650 1038
297 2598 1171
298 1076 1561
299 2056 1473
300 2567 1807
301 2061 468
302 1483 1113
303 1587 987
304 1460 2714
305 1514 581
306 2467 653
307 461 2306
308 756 848
309 2142 476
310 792 322
311 2640 1515
312 964 1006
313 1589 1656
314 2342 1801
315 572 508
316 1910 2426
317 1988 897
318 996 1068
319 1262 2825
320 2556 2104
321 1891 1803
322 1534 720
323 2602 134
324 2887 2338
325 733 1887
326 1735 2529
327 1545 2355
328 1448 2940
329 2743 985
330 2411 1500
331 2632 2505
332 1574 2217
333 1436 268
334 2722 464
335 1103 682
336 758 2880
337 1391 2070
338 387 561
339 1330 256
340 1762 2296
341 28 2385
342 2303 936
343 159 538
344 446 1936
345 1591 2686
346 1031 1214
347 2143 1162
348 906 424
349 388 514
350 2005 509
351 2737 434
352 2670 214
353 1310 2316
354 1900 1409
355 1570 2827
356 2593 1670
357 1579 2137
358 2219 2052
359 1423 2489
360 2863 350
361 2682 1736
362 1687 2423
363 345 2665
364 2162 555
365 2393 38
366 10 823
367 1652 2745
368 1821 1934
369 2283 1663
370 2204 2052
371 21 1992
372 1740 1503
373 399 1579
374 2433 693
375 537 2311
376 953 1006
377 655 1398
378 2405 1222
379 1159 877
380 30 1989
381 662 2164
382 407 665
383 1526 1040
384 953 835
385 2631 782
386 2879 2202
387 716 2666
388 2695 797
389 516 1043
390 520 1419
391 404 284
392 2497 515
393 1679 1836
394 1154 513
395 2421 863
396 2154 1691
397 792 9
398 985 220
399 321 2454
400 1123 287
401 1669 1042
402 2505 1639
403 2403 2525
404 2610 730
405 2785 1558
406 2016 38
407 2869 2009
408 1400 611
409 2870 599
410 1779 750
411 850 17
412 1074 33
413 1411 2512
414 1985 1024
415 393 2659
416 416 384
417 2706 2850
418 514 1494
419 1913 341
420 1545 67
421 239 1908
422 1065 2529
423 1551 2049
424 2008 2692
425 1111 954
426 954 2886
427 2639 629
428 2715 423
429 58 13
430 1130 1313
431 2183 136
432 2334 35
433 2082 2286
434 74 29
435 470 1919
436 384 979
437 2089 1199
438 627 241
439 770 2801
440 1531 663
441 591 2697
442 2461 2916
443 676 1915
444 2491 57
445 778 1189
446 735 247
447 846 2052
448 1959 756
449 928 1578
450 2637 2306
451 2408 742
452 408 2368
453 904 465
454 1518 1002
455 2076 1075
456 83 2367
457 2753 441
458 827 274
459 2343 446
460 811 2906
461 1074 1995
462 546 1277
463 1811 315
464 1929 2019
465 572 2851
466 403 2126
467 2176 2350
468 2863 288
469 1208 1489
470 1611 92
471 2159 2801
472 1118 1046
473 418 2537
474 195 766
475 923 1910
476 192 1279
477 730 1595
478 1158 2045
479 2282 2686
480 202 1307
481 2539 104
482 1924 92
483 1133 2476
484 146 512
485 1412 2527
486 2512 2535
487 2103 1158
488 1747 2594
489 17 393
490 911 2305
491 2050 1331
492 1832 568
493 1812 1562
494 594 257
495 914 808
496 2721 2881
497 101 2733
498 193 246
499 372 87
500 606 88
501 1780 1732
502 1602 7
503 649 1811
504 2845 817
505 587 1670
506 2886 787
507 625 2050
508 1877 809
509 270 1651
510 1472 1282
511 2840 1749
512 2782 1849
513 197 2391
514 328 814
515 788 1183
516 370 328
517 2773 463
518 2138 2319
519 1356 1043
520 234 517
521 132 1307
522 520 140
523 2247 2193
524 2317 2506
525 216 230
526 95 1735
527 2883 258
528 2468 95
529 1088 2757
530 1995 1806
531 71 673
532 1413 2212
533 395 2488
534 1862 1712
535 1218 886
536 177 286
537 2675 820
538 397 1048
539 925 1043
540 90 2890
541 79 2671
542 299 1242
543 2344 2709
544 93 883
545 2514 243
546 2712 2868
547 305 496
548 657 2591
549 93 84
550 1027 598
551 388 1585
552 2226 2554
553 1961 765
554 649 466
555 510 257
556 1347 2659
557 139 343
558 1264 1633
559 607 1505
560 616 2064
561 2270 2062
562 2081 1632
563 2087 376
564 1297 926
565 776 122
566 1110 1029
567 848 1110
568 2105 1451
569 1121 2395
570 1916 2155
571 2939 1365
572 2532 2547
573 15 2577
574 1310 1013
575 1875 2755
576 2713 1160
577 2144 1421
578 1352 2536
579 301 706
580 616 1797
581 692 494
582 214 528
583 1006 1527
584 1814 827
585 1828 2633
586 182 2407
587 267 310
588 1768 1303
589 2463 478
590 409 1778
591 844 681
592 377 381
593 1981 1900
594 491 2118
595 102 517
596 2176 1860
597 795 1073
598 606 913
599 722 2684
600 1237 1256
601 441 2896
602 2331 522
603 2359 1297
604 2173 1083
605 333 2685
606 186 512
607 827 1986
608 1466 2036
609 2249 2324
610 1541 2440
611 1791 1649
612 684 1663
613 528 770
614 328 2782
615 2106 2156
616 227 471
617 681 698
618 2628 1748
619 2463 5
620 2234 1626
621 1795 38
622 1403 1031
623 1936 1054
624 1621 509
625 2327 984
626 1890 1032
627 1239 2014
628 492 2221
629 381 2133
630 2011 552
631 761 2895
632 1542 2551
633 1384 2645
634 2011 1780
635 730 374
636 407 1485
637 889 913
638 169 910
639 710 530
640 1902 2039
641 1364 2748
642 1433 1803
643 2879 249
644 40 2136
645 2699 15
646 2403 2551
647 2129 2213
648 2887 2854
649 1153 2193
650 1417 980
651 1704 760
652 568 965
653 2384 111
654 981 2874
655 1822 841
656 1254 348
657 787 1421
658 864 336
659 1691 309
660 1104 1330
661 345 494
662 1132 390
663 63 2799
664 1935 1854
665 2156 1084
666 2151 1486
667 1707 2756
668 1966 36
669 2795 1519
670 737 39
671 919 1855
672 2811 1810
673 1793 1605
674 870 1961
675 1642 139
676 2061 2336
677 652 1101
678 762 2163
679 2054 2556
680 2204 1780
681 1678 1332
682 2571 483
683 1020 1085
684 875 2934
685 1775 101
686 931 1145
687 2210 797
688 2515 1566
689 2405 1495
690 2507 312
691 2272 917
692 25 2701
693 1471 1341
694 2569 44
695 1490 112
696 2160 1160
697 567 1049
698 2691 1102
699 1382 2528
700 2360 2233
701 1684 2850
702 2193 1584
703 23 210
704 68 1960
705 2500 1632
706 520 54
707 1206 325
708 45 927
709 423 2276
710 233 2690
711 1605 2356
712 233 1130
713 1522 1981
714 378 665
715 1755 2399
716 121 1076
717 1281 1097
718 929 2695
719 613 2506
720 2308 2063
721 2150 2458
722 123 1267
723 32 2647
724 2114 2288
725 347 209
726 1702 2041
727 773 1343
728 1133 1637
729 1132 2406
730 1887 1210
731 43 480
732 871 1418
733 2035 1998
734 646 864
735 357 2002
736 53 189
737 766 2596
738 2733 359
739 933 2357
740 310 2909
741 1341 960
742 1021 1437
743 906 1613
744 1571 1015
745 1633 1295
746 428 1906
747 1055 1499
748 756 1944
749 1385 2501
750 1480 933
751 1678 417
752 505 1852
753 2553 938
754 2170 2625
755 1666 2621
756 1299 666
757 1982 998
758 192 117
759 345 839
760 2822 1058
761 1660 1685
762 2620 2417
763 519 2886
764 974 150
765 2848 1107
766 2278 1135
767 61 1051
768 1155 477
769 150 2581
770 2727 2527
771 583 1875
772 2035 1923
773 620 1282
774 788 2414
775 2622 2868
776 2392 1947
777 2129 199
778 2463 819
779 2778 1515
780 2259 2019
781 460 379
782 2686 2281
783 2917 2421
784 319 916
785 666 700
786 2810 1327
787 427 2589
788 1156 96
789 2107 2612
790 2666 169
791 2244 84
792 2776 590
793 357 2549
