1380 1380
1 484 343
2 523 881
3 1245 1168
4 156 238
5 836 426
6 110 487
7 31 190
8 387 1302
9 1278 607
10 678 308
11 363 521
12 475 826
13 1104 126
14 1052 1214
15 1051 1148
16 1087 869
17 654 243
18 622 608
19 1105 1061
20 1277 1033
21 852 1101
22 238 87
23 849 810
24 1085 329
25 1350 36
26 991 1202
27 1239 715
28 269 973
29 711 422
30 1201 1315
31 39 989
32 844 1157
33 311 235
34 1328 660
35 1064 890
36 1235 106
37 265 104
38 205 1199
39 258 779
40 435 152
41 538 1156
42 884 822
43 395 565
44 724 606
45 892 1198
46 911 804
47 158 268
48 1379 805
49 883 85
50 489 534
51 815 1111
52 954 442
53 751 305
54 652 1127
55 384 174
56 230 815
57 648 511
58 1300 768
59 928 1030
60 956 1262
61 413 896
62 634 616
63 566 1093
64 773 670
65 770 1070
66 766 793
67 662 76
68 501 747
69 1283 882
70 138 1001
71 857 22
72 357 1199
73 462 644
74 744 567
75 1024 588
76 1280 876
77 536 1167
78 143 699
79 1009 327
80 714 1119
81 512 778
82 323 309
83 1142 552
84 440 271
85 915 1144
86 1353 615
87 860 1333
88 165 751
89 223 413
90 828 491
91 132 1129
92 1129 360
93 520 2
94 558 1366
95 1138 336
96 301 300
97 382 1065
98 755 51
99 289 1120
100 1156 534
101 844 1202
102 409 1152
103 160 193
104 561 135
105 230 180
106 1075 500
107 721 1034
108 106 138
109 385 1366
110 586 208
111 160 1322
112 1187 1069
113 734 450
114 895 1378
115 865 988
116 1121 863
117 618 946
118 1019 401
119 1195 1303
120 183 1259
121 193 1114
122 1006 919
123 673 691
124 44 1175
125 938 719
126 1340 25
127 629 358
128 379 951
129 953 1371
130 599 142
131 16 20
132 1034 774
133 898 38
134 314 653
135 788 1331
136 251 376
137 1255 694
138 812 731
139 542 440
140 863 863
141 285 549
142 463 194
143 188 312
144 1254 1121
145 860 166
146 746 516
147 996 763
148 739 1027
149 694 1355
150 592 100
151 839 37
152 75 853
153 856 1374
154 329 1368
155 83 924
156 1274 568
157 753 683
158 764 129
159 853 1244
160 783 915
161 329 1232
162 480 163
163 416 551
164 1254 867
165 808 325
166 354 411
167 1072 541
168 512 727
169 632 184
170 1123 1190
171 339 305
172 837 848
173 1290 403
174 1259 1345
175 408 1081
176 251 534
177 702 461
178 1350 1251
179 991 454
180 329 77
181 418 52
182 834 180
183 91 422
184 512 305
185 599 1186
186 584 1006
187 884 481
188 989 742
189 224 115
190 1283 1251
191 685 1169
192 410 745
193 641 420
194 408 1145
195 179 441
196 1380 389
197 466 684
198 1204 806
199 1224 621
200 899 463
201 477 1314
202 592 960
203 141 897
204 930 858
205 812 1060
206 168 737
207 312 14
208 1127 448
209 600 1371
210 221 360
211 1187 108
212 68 963
