2270 2270
1 780 54
2 1767 1009
3 328 974
4 2128 1088
5 347 888
6 1867 529
7 1732 1089
8 1044 1725
9 246 2117
10 14 1557
11 1443 1576
12 1059 1247
13 745 850
14 871 2217
15 239 1058
16 1096 955
17 1248 1778
18 130 1543
19 1833 2017
20 2162 503
21 2016 1041
22 1619 558
23 1654 70
24 1822 1408
25 2195 638
26 1695 2221
27 1226 237
28 1079 1353
29 2237 199
30 926 1147
31 1474 1665
32 337 1645
33 629 1421
34 1216 1619
35 2119 376
36 2022 335
37 77 1516
38 1987 1093
39 1097 1336
40 1120 2046
41 678 1999
42 1950 1890
43 854 1164
44 934 1314
45 669 1829
46 513 1907
47 1065 1287
48 1343 1405
49 2046 1761
50 635 483
51 192 1702
52 1731 1605
53 352 550
54 270 1253
55 1811 317
56 699 1423
57 2042 1862
58 161 2225
59 683 2006
60 1845 715
61 1042 908
62 207 307
63 1327 187
64 757 336
65 1745 828
66 551 528
67 1012 879
68 558 781
69 504 18
70 1603 1626
71 158 530
72 1166 2247
73 1220 2200
74 285 2107
75 614 701
76 437 704
77 200 1475
78 621 2008
79 1744 1477
80 293 792
81 1145 583
82 895 383
83 1293 471
84 2150 834
85 109 596
86 1088 1999
87 1418 837
88 802 1688
89 1576 825
90 1483 898
91 1566 597
92 967 252
93 452 1836
94 2108 920
95 70 463
96 1903 283
97 1307 1500
98 56 2119
99 740 1061
100 2003 872
101 361 1766
102 84 367
103 943 1668
104 686 2133
105 1867 1163
106 1668 123
107 751 1085
108 2108 2160
109 2170 1661
110 813 2090
111 1590 1417
112 266 549
113 661 583
114 1296 196
115 2159 1835
116 2258 2264
117 120 2110
118 1270 440
119 39 774
120 1441 135
121 199 904
122 73 796
123 54 852
124 2073 1818
125 1126 1697
126 1408 386
127 375 110
128 1653 750
129 541 2029
130 804 905
131 2270 1276
132 1741 1525
133 2134 2268
134 255 1869
135 152 2017
136 1655 29
137 142 93
138 1200 864
139 509 1732
140 889 131
141 1810 506
142 508 1229
143 1691 693
144 1509 36
145 1919 2027
146 44 652
147 893 2002
148 1092 395
149 7 993
150 1766 1231
151 1873 2037
152 1727 21
153 74 1427
154 506 724
155 1310 1301
156 794 1246
157 2242 2263
158 587 152
159 1163 98
160 649 505
161 2155 1101
162 808 1562
163 548 397
164 195 891
165 1299 1076
166 1191 2100
167 1096 1315
168 24 1561
169 580 1278
170 989 964
171 211 282
172 309 911
173 669 1164
174 605 971
175 81 377
176 2095 1675
177 224 1139
178 1078 1694
179 1621 2214
180 748 1865
181 874 1438
182 2045 1721
183 2237 1204
184 1263 264
185 308 2220
186 450 673
187 2207 2247
188 757 1671
189 1202 1261
190 1235 1169
191 2141 1892
192 1603 784
193 565 1849
194 1140 874
195 1082 753
196 1134 1168
197 1330 1786
198 482 2062
199 474 1076
200 37 1503
201 409 1090
202 1665 1103
203 1370 1974
204 143 1221
205 1081 179
206 1216 1675
207 1107 1044
208 2270 1569
209 1440 1739
210 39 2075
211 2154 1938
212 1546 881
213 74 1908
214 785 2024
215 495 185
216 1135 570
217 2075 342
218 929 435
219 403 1925
220 849 1195
221 443 168
222 306 344
223 947 638
224 1900 651
225 750 393
226 109 953
227 2077 1216
228 1427 509
229 962 1682
230 462 982
231 1302 1333
232 2186 2224
233 907 1524
234 1091 2162
235 462 1883
236 661 249
237 1338 999
238 277 1334
239 531 1789
240 2084 2139
241 579 47
242 1159 455
243 2076 144
244 2031 528
245 980 2056
246 1008 772
247 57 394
248 948 152
249 2213 451
250 1188 1579
251 570 1919
252 1443 684
253 1906 262
254 374 897
255 1829 1354
256 699 1343
257 1665 455
258 762 160
259 948 858
260 307 1110
261 704 809
262 698 155
263 574 1328
264 648 766
265 585 1809
266 1871 280
267 1859 707
268 63 1527
269 2199 1451
270 1159 306
271 1713 622
272 1090 1757
273 542 1167
274 2056 128
275 1469 1828
276 1534 2117
277 650 50
278 1099 349
279 287 1173
280 798 1973
281 616 1584
282 1956 1331
283 1355 759
284 1424 1499
285 2205 1045
286 665 1018
287 1438 176
288 912 346
289 1478 133
290 125 1594
291 1721 822
292 1451 1125
293 2254 1977
294 1546 2065
295 25 2083
296 159 1770
297 719 1375
298 1870 183
299 757 627
300 890 1281
301 966 148
302 1503 1419
303 1404 2167
304 1313 575
305 585 332
306 153 2025
307 213 1716
308 1857 934
309 1764 84
310 821 1658
311 1044 680
312 291 1693
313 1222 1587
314 208 1261
315 912 2006
316 2152 1247
317 25 2220
318 1484 1364
319 174 1824
320 1700 1757
321 1416 581
322 1540 63
323 2106 179
324 539 481
325 595 2268
326 305 1198
327 1188 1560
328 719 995
329 810 440
330 433 976
331 242 1057
332 1635 475
333 964 1727
334 727 1186
335 1975 1471
336 1023 224
337 1341 2056
338 1453 359
339 1644 260
340 1344 1255
341 99 621
342 2110 1260
343 703 1810
344 1794 301
345 1363 2062
346 1212 2148
347 2136 1918
348 1526 1288
349 1058 1018
350 79 1405
351 806 754
352 739 1778
353 927 1475
