3860 3860
1 2034 2709
2 1175 861
3 2696 650
4 2949 2455
5 3145 947
6 2146 1973
7 1251 217
8 3498 1122
9 3521 899
10 1995 3038
11 388 28
12 3589 3837
13 1552 770
14 94 2971
15 3095 1289
16 3658 2280
17 430 374
18 45 3581
19 1245 105
20 3464 180
21 1219 473
22 1578 708
23 3654 2027
24 912 1483
25 1840 1562
26 811 2010
27 479 2950
28 2532 1318
29 386 70
30 1584 3211
31 1441 351
32 3729 3797
33 2549 2809
34 2645 530
35 776 1767
36 3677 1879
37 1999 2539
38 1897 2054
39 240 1771
40 1230 3187
41 3803 2583
42 1472 322
43 3780 519
44 2733 993
45 3475 503
46 2673 1414
47 430 586
48 2884 166
49 1006 3574
50 3801 3835
51 3640 2745
52 905 2440
53 1742 1437
54 3539 1147
55 242 1300
56 2976 1864
57 175 3235
58 886 3526
59 3546 1859
60 369 3309
61 338 2933
62 1158 635
63 975 1450
64 3227 1156
65 71 3710
66 782 1061
67 3606 1018
68 1678 1954
69 727 743
70 1744 3131
71 280 1534
72 2226 1952
73 2987 577
74 2513 2136
75 3749 3415
76 830 284
77 3736 430
78 3189 387
79 1235 1300
80 2527 213
81 2292 2212
82 1101 1108
83 3185 3075
84 558 3746
85 1119 2158
86 24 1885
87 3829 153
88 2301 1516
89 1192 1205
90 505 2419
91 1582 2418
92 1398 2604
93 1544 1100
94 32 414
95 2367 3055
96 130 1905
97 438 3584
98 3045 1696
99 2054 750
100 3291 2708
101 1302 1141
102 2359 3102
103 33 1542
104 2351 1767
105 1233 3839
106 3118 1266
107 2981 664
108 763 946
109 2738 3451
110 745 2748
111 634 2787
112 741 314
113 2881 2651
114 1677 2749
115 913 2109
116 3571 740
117 1795 969
118 3757 3182
119 2053 1096
120 2941 3375
121 3719 1212
122 1832 1550
123 1521 906
124 1171 2769
125 1020 1805
126 1558 128
127 1213 3021
128 2756 2527
129 2548 1632
130 335 646
131 1485 480
132 528 1170
133 2946 2537
134 1582 729
135 1081 831
136 468 2350
137 3589 1255
138 259 879
139 3215 683
140 2416 1271
141 1664 3800
142 3026 883
143 2415 3376
144 404 3255
145 252 703
146 850 3581
147 686 1641
148 2428 2585
149 3381 2893
150 1554 495
151 828 3636
152 2346 1797
153 1612 2137
154 507 868
155 1715 2351
156 44 682
157 502 3531
158 2396 274
159 3661 232
160 2875 443
161 660 1773
162 1913 928
