4660 4660
1 2799 2598
2 4565 2443
3 3482 3901
4 4243 1627
5 1480 3077
6 473 982
7 3439 3012
8 4331 345
9 409 3742
10 3422 564
11 4296 3898
12 263 388
13 4636 4183
14 1419 1105
15 1310 2111
16 2844 1307
17 4371 1785
18 232 88
19 2953 1512
20 3853 2513
21 1701 4051
22 580 992
23 2870 1803
24 214 1686
25 200 508
26 2871 2568
27 4305 1727
28 3041 1011
29 1820 1856
30 1757 1332
31 1287 3958
32 3432 4169
33 771 1287
34 3868 3897
35 1189 3193
36 56 2210
37 2435 3181
38 3050 4157
39 4636 4048
40 1252 3070
41 1552 2087
42 737 3805
43 4079 2616
44 3996 1451
45 739 673
46 4101 2813
47 4372 4122
48 4639 2846
49 644 1706
50 2770 4551
51 1279 3067
52 4409 1608
53 4393 1580
54 2975 181
55 1069 3514
56 826 3554
57 916 4017
58 4032 1342
59 2410 4103
60 1097 2906
61 1189 3743
62 2364 3601
63 1004 2196
64 2494 4207
65 2081 3276
66 4580 254
67 2822 1351
68 849 2209
69 2389 4499
70 2407 567
71 4166 662
72 1976 2950
73 2833 1757
74 2836 3989
75 3924 66
76 1085 2222
77 2325 4333
78 2079 100
79 1288 3723
80 2093 860
81 1795 457
82 1196 1542
83 1487 299
84 574 1015
85 3839 2246
86 1186 157
87 3499 1754
88 2682 1234
89 698 3192
90 3953 264
91 434 689
92 1274 1368
93 1332 3919
94 1757 454
95 2371 2152
96 3620 296
97 4586 1463
98 4564 2583
99 3434 3306
100 998 298
101 948 3101
102 1008 2053
103 3939 1108
104 672 3945
105 1248 2149
106 2063 4556
107 3127 3170
108 3834 2920
109 3925 3754
110 1765 1986
111 2574 1689
112 2496 853
113 4405 3932
114 1566 704
115 2162 1672
116 3939 2644
117 3328 993
118 1209 2164
119 1618 3652
120 3187 2660
121 75 664
122 3466 1645
123 1204 1787
124 1064 149
125 165 3828
126 409 4294
127 945 3324
128 3503 1769
129 3441 320
130 4237 611
131 924 2265
132 1795 1924
133 274 2421
134 3277 4217
135 3458 1920
136 2937 3396
137 858 253
138 2783 1883
139 3240 2019
140 3799 1360
141 2327 3912
142 2656 812
143 2659 757
144 1707 2005
145 2501 1201
146 3169 402
147 4291 4222
148 837 1641
149 3742 4341
150 1681 382
151 3125 4462
152 2148 3603
153 1829 1765
154 1296 437
155 485 1319
156 4281 894
157 2668 2511
158 1498 1673
159 4004 2810
160 1534 1721
161 1014 2357
162 1165 746
163 4175 3311
164 2277 952
165 270 2894
166 2359 4625
167 119 2182
168 2790 601
169 3761 275
170 2590 3921
171 3707 3682
172 3817 2721
173 1532 2423
174 1546 937
175 2885 1701
176 2502 797
177 1984 3115
178 2739 811
179 2242 2286
180 2859 4577
181 3564 2871
182 3937 863
183 4285 1994
184 1777 2232
185 1978 4467
186 2786 3465
187 1104 268
188 3611 2397
189 2246 1115
190 542 335
191 2446 110
192 3873 16
193 2226 2580
194 574 2184
195 1474 4605
196 3587 3123
197 2800 3292
198 2825 3540
199 2894 2936
200 1020 1926
201 4403 3718
202 746 2386
203 1273 3058
204 4615 156
205 2839 4560
206 2594 4169
207 2343 2747
208 445 475
209 1836 3550
210 3782 146
211 1367 2071
212 700 1788
213 3971 2954
214 1953 2448
215 3328 972
216 1883 3785
217 3601 123
218 1852 1463
219 3632 2022
220 3165 1644
