3570 3570
1 3458 1616
2 2364 1683
3 1213 2294
4 107 1174
5 585 384
6 339 2490
7 140 3359
8 1381 1789
9 503 68
10 89 1319
11 1620 113
12 842 136
13 1811 1343
14 2925 408
15 558 2338
16 2869 1756
17 315 2809
18 915 1056
19 239 1699
20 1630 2670
21 2106 291
22 519 1177
23 2459 346
24 3394 3423
25 1445 630
26 987 2621
27 2123 3518
28 1292 3566
29 1771 1893
30 2209 3282
31 1118 2785
32 2886 2087
33 3061 1333
34 2015 2919
35 1678 1200
36 501 1750
37 807 107
38 3426 520
39 1922 1164
40 2397 503
41 3373 941
42 1655 164
43 2509 2700
44 1222 3365
45 528 513
46 2481 2033
47 1322 3466
48 491 3547
49 983 538
50 1886 1168
51 2193 1274
52 3478 2527
53 1341 949
54 1913 320
55 1456 2286
56 838 636
57 71 1573
58 1045 1719
59 3332 2913
60 840 3274
61 3469 3511
62 2065 3004
63 3334 2894
64 1464 2850
65 1416 2811
66 930 496
67 366 3535
68 268 3521
69 1416 2968
70 788 2117
71 2719 1706
72 1965 995
73 3370 221
74 372 3416
75 308 2132
76 773 805
77 1261 672
78 272 639
79 2822 1092
80 19 3109
81 1559 2425
82 159 195
83 2046 2318
84 507 1234
85 2505 1136
86 3558 2309
87 2272 2759
88 3324 1578
89 3238 1384
90 2100 2483
91 3176 2398
92 157 1522
93 702 3507
94 1870 1448
95 1064 500
96 2518 3502
97 723 3400
98 2214 278
99 85 869
100 1624 860
101 157 1448
102 1335 1328
103 251 2777
104 1606 2019
105 1566 1458
106 1524 443
107 2561 2044
108 581 3104
109 2283 2796
110 888 2336
111 1005 483
112 2481 1186
113 2364 1007
114 1547 3139
115 88 1023
116 193 1361
117 1464 2165
118 1778 2241
119 3041 2523
120 3353 569
121 443 1732
122 1054 2472
123 3111 1813
124 2399 3506
125 3502 975
126 2040 2205
127 107 2561
128 3283 355
129 2993 3192
130 2019 542
131 2819 2813
132 90 958
133 1089 205
134 3081 803
135 2117 2618
136 992 1878
137 2152 235
138 2431 1206
139 428 1671
140 1920 2232
141 3331 3463
142 2869 1058
143 3361 595
144 1956 3559
145 1612 3292
146 961 2826
147 2287 3205
148 766 1077
149 2688 1967
150 1500 2544
151 1704 2527
152 374 2450
153 2414 2184
154 2143 712
155 2487 1444
156 1096 974
157 1951 2981
158 253 261
159 1862 1308
160 1820 3173
161 3285 176
162 2813 649
163 667 298
164 813 3038
165 680 1793
166 2951 454
