5200 5200
1 4297 3582
2 3372 927
3 755 3053
4 4527 764
5 1594 4701
6 4209 940
7 1142 710
8 4991 1946
9 84 1985
10 4731 4192
11 2490 4159
12 3121 2646
13 2632 3870
14 861 2958
15 2144 3752
16 4203 2864
17 3271 508
18 1454 1538
19 3660 3937
20 4165 4634
21 1496 392
22 1628 3895
23 2439 754
24 495 3148
25 4054 626
26 4260 4047
27 1037 516
28 4681 913
29 4256 1117
30 1515 1134
31 352 4997
32 1561 792
33 791 4835
34 4040 1135
35 3892 1911
36 3224 2356
37 4467 158
38 3607 1582
39 1057 881
40 3509 1053
41 3311 527
42 1176 1548
43 1396 989
44 2705 3148
45 4072 651
46 2654 2319
47 4286 3657
48 1937 2882
49 818 3049
50 4721 3695
51 276 3494
52 3295 4114
53 1187 118
54 2412 4602
55 5085 1612
56 5145 1458
57 2181 3665
58 1871 1809
59 551 948
60 4177 223
61 2745 831
62 3358 3929
63 1250 2844
64 1547 1110
65 4911 152
66 1889 4570
67 5123 4871
68 4786 4907
69 4943 872
70 3938 3459
71 274 2954
72 1524 1750
73 35 895
74 1938 245
75 1213 4656
76 1361 3233
77 2250 1362
78 740 2019
79 2435 2103
80 2191 1404
81 3479 2487
82 303 808
83 74 721
84 153 1225
85 127 1229
86 1713 257
87 5098 2916
88 620 2368
89 1679 1586
90 199 1311
91 847 842
92 441 2395
93 1668 1226
94 1910 614
95 330 1537
96 4982 779
97 1697 79
98 3253 1633
99 1056 3948
100 4604 1442
101 2077 4475
102 833 2508
103 4218 3696
104 890 2103
105 3330 4480
106 280 760
107 1076 88
108 3777 309
109 1886 2817
110 46 2874
111 2975 242
112 4150 5004
113 854 1959
114 4794 300
115 4222 3088
116 5092 319
117 3998 1213
118 4922 1755
119 2556 2360
120 103 4868
121 5075 835
122 699 1320
123 4549 2149
124 3217 1063
125 402 2607
126 3522 3831
127 3336 4147
128 3641 4167
129 2973 3975
130 3782 1171
131 1548 2838
132 919 4503
133 909 552
134 4740 2216
135 2424 164
136 1113 2527
137 1546 419
138 1146 1719
139 4537 2630
140 1890 3465
141 3781 1546
142 3148 1285
143 2672 4139
144 2581 1812
145 991 3815
146 738 4108
147 1633 4821
148 606 3396
149 3664 2550
150 3111 3609
151 389 2058
152 890 4032
153 1649 1878
154 907 2956
155 4169 2405
156 1738 3106
157 2737 2428
158 4930 4139
159 3261 2066
160 4116 331
161 548 1584
162 980 4480
163 70 2389
164 1090 3484
165 4127 1838
166 891 86
167 2380 1092
168 417 1086
169 2558 2070
170 936 2032
171 333 4473
172 386 203
173 686 60
174 942 4835
175 4776 1409
176 5005 1539
177 259 2361
178 1093 1991
179 2306 2991
180 3817 4408
181 1171 4296
182 104 4745
183 245 3337
184 1061 4051
185 1193 3898
186 3848 4988
187 1836 1994
188 4179 4220
189 4419 4627
190 3655 1715
191 1144 3071
192 1319 4037
193 1045 603
194 893 2744
195 2846 2666
196 3357 4160
197 1172 5181
198 2871 4809
199 1959 4034
200 1440 1333
201 5115 1707
202 4595 3461
203 2414 3793
204 1603 4813
205 169 3224
206 2773 4724
207 4486 1252
208 4620 2713
209 5137 3580
210 4501 1085
211 1921 4286
212 3988 156
213 5049 2660
214 510 1245
215 1418 4678
216 1049 1565
217 4956 592
218 3425 1766
219 4092 3653
220 1836 2454
221 408 1459
222 1632 3213
223 1945 617
224 3411 1207
225 5104 1174
226 4659 2460
227 4916 2948
228 1544 2692
229 1995 950
230 3175 3486
231 311 61
232 2904 4962
233 3555 4353
234 186 3350
235 4718 1118
236 1397 2735
237 3815 4717
238 3168 1768
239 922 3252
240 3748 3079
241 25 1777
242 1553 1550
243 2143 579
244 4703 3823
245 1745 2969
246 1384 4004
247 854 640
248 501 2830
249 1928 5174
250 4726 4028
251 1099 996
252 821 2335
253 478 3628
254 1581 2043
255 3072 912
256 3735 2977
257 117 1091
258 661 2074
259 537 4867
260 3795 3286
261 4372 3159
262 4987 3239
263 2078 261
264 184 3559
265 4965 3848
266 2557 1889
267 396 3456
268 534 3055
269 3590 2634
270 1071 2768
271 1748 3074
272 2356 2732
273 4940 4502
274 2361 122
275 3355 1693
276 3563 3377
277 2923 1431
278 566 2334
279 3048 103
280 1913 3991
281 3759 4078
282 3223 925
283 3033 1962
284 4399 3479
285 3223 1823
286 238 732
287 4286 548
288 2115 465
289 3893 3633
290 932 4453
291 348 936
292 799 3672
293 2655 3746
294 2371 1571
295 4347 5035
296 2400 388
297 3681 3649
298 268 4760
299 4185 2504
300 3704 47
301 2648 1058
302 2978 3338
303 2949 301
304 1196 4616
305 4280 4493
306 1149 594
307 2021 4700
308 1015 1603
309 232 239
310 1881 1932
311 816 2827
312 1301 2967
313 4641 119
314 2436 58
315 3188 4868
316 1513 1582
317 2818 3115
318 3956 5153
319 1426 4165
320 232 1177
321 4319 2961
322 622 4410
323 2237 3185
324 699 1289
325 3453 4758
326 576 1970
327 287 2606
328 1792 2631
329 23 2795
330 4536 186
331 4035 3701
332 4410 2798
333 1788 3282
334 1066 1448
335 1292 4133
336 3869 2059
337 895 4101
338 3326 2837
339 4221 688
340 1427 3636
341 2198 800
342 4736 2509
343 4351 3660
344 2730 1102
345 620 2594
346 974 482
347 2910 980
348 4259 1957
349 991 1824
350 4269 665
351 3084 3156
352 3108 5064
353 1539 4418
354 4501 4810
355 4380 2064
356 2519 4266
357 4253 3332
358 3568 1940
359 520 142
360 217 3154
361 296 2678
362 1856 4248
363 4284 2375
364 2140 380
365 4163 1420
366 262 1546
367 25 619
368 3862 4774
369 5185 1263
370 2619 2307
371 2787 3898
372 1615 292
373 3607 106
374 4619 929
375 1267 2363
376 4279 3084
377 1490 3918
378 788 1461
379 1190 2152
380 3149 3435
381 751 1390
382 3899 5107
383 1468 3728
384 457 4030
385 609 3732
386 952 4102
387 1034 4900
388 868 1209
